门类,专业类,专业名称,专业代码,开设院校,专业满意度,详情页,开设院校页,specId
历史学,历史学类,考古学,060103,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383751,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383751,
历史学,历史学类,文物与博物馆学,060104,-,4.0,,,
历史学,历史学类,文物保护技术,060105,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383763,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383763,
历史学,历史学类,外国语言与外国历史,060106,-,-,,,
历史学,历史学类,文化遗产,060107,-,-,,,
历史学,历史学类,古文字学,060108,-,-,,,
历史学,历史学类,科学史,060109,-,-,,,
理学,数学类,数学与应用数学,070101,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383775,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383775,
理学,数学类,信息与计算科学,070102,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383779,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383779,
理学,数学类,数理基础科学,070103,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383783,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383783,
理学,数学类,数据计算及应用,070104,-,-,,,
理学,物理学类,物理学,070201,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383799,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383799,
理学,物理学类,应用物理学,070202,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383803,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383803,
理学,物理学类,核物理,070203,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383807,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383807,
理学,物理学类,声学,070204,-,4.9,,,
理学,物理学类,系统科学与工程,070205,-,-,,,
理学,物理学类,量子信息科学,070206,-,-,,,
理学,化学类,化学,070301,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383819,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383819,
理学,化学类,应用化学,070302,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383823,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383823,
理学,化学类,化学生物学,070303,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383827,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383827,
理学,化学类,分子科学与工程,070304,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383831,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383831,
理学,化学类,能源化学,070305,-,-,,,
理学,化学类,化学测量学与技术,070306,-,-,,,
理学,化学类,资源化学,070307,-,-,,,
理学,天文学类,天文学,070401,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383895,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383895,
理学,地理科学类,地理科学,070501,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383923,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383923,
理学,地理科学类,自然地理与资源环境,070502,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/422637247,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=422637247,
理学,地理科学类,人文地理与城乡规划,070503,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/421251447,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=421251447,
理学,地理科学类,地理信息科学,070504,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383932,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383932,
理学,大气科学类,大气科学,070601,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383960,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383960,
理学,大气科学类,应用气象学,070602,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383964,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383964,
理学,大气科学类,气象技术与工程,070603,-,-,,,
理学,大气科学类,地球系统科学,070604,-,-,,,
理学,海洋科学类,海洋科学,070701,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383972,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383972,
理学,海洋科学类,海洋技术,070702,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383976,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383976,
理学,海洋科学类,海洋资源与环境,070703,查看,3.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383984,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383984,
理学,海洋科学类,军事海洋学,070704,-,-,,,
理学,海洋科学类,海洋科学与技术,070705,-,-,,,
理学,地球物理学类,地球物理学,070801,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383944,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383944,
理学,地球物理学类,空间科学与技术,070802,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383952,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383952,
理学,地球物理学类,防灾减灾科学与工程,070803,-,-,,,
理学,地球物理学类,行星科学,070804,-,-,,,
理学,地质学类,地质学,070901,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383907,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383907,
理学,地质学类,地球化学,070902,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383911,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383911,
理学,地质学类,地球信息科学与技术,070903,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383936,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383936,
理学,地质学类,古生物学,070904,查看,4.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/320924689,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=320924689,
理学,生物科学类,生物科学,071001,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383847,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383847,
理学,生物科学类,生物技术,071002,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383851,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383851,
理学,生物科学类,生物信息学,071003,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383855,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383855,
理学,生物科学类,生态学,071004,查看,3.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384056,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384056,
理学,生物科学类,整合科学,071005,-,-,,,
理学,生物科学类,神经科学,071006,-,-,,,
理学,心理学类,心理学,071101,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384076,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384076,
理学,心理学类,应用心理学,071102,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384080,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384080,
理学,统计学类,统计学,071201,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384088,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384088,
理学,统计学类,应用统计学,071202,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/437286976,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437286976,
理学,统计学类,数据科学,071203,-,-,,,
理学,统计学类,生物统计学,071204,-,-,,,
工学,力学类,理论与应用力学,080101,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383996,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383996,
工学,力学类,工程力学,080102,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384816,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384816,
工学,机械类,机械工程,080201,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/437286835,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437286835,
工学,机械类,机械设计制造及其自动化,080202,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384204,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384204,
工学,机械类,材料成型及控制工程,080203,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384208,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384208,
工学,机械类,机械电子工程,080204,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384228,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384228,
工学,机械类,工业设计,080205,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384212,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384212,
工学,机械类,过程装备与控制工程,080206,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384216,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384216,
工学,机械类,车辆工程,080207,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384224,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384224,
工学,机械类,汽车服务工程,080208,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384232,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384232,
工学,机械类,机械工艺技术,080209,-,4.1,,,
工学,机械类,微机电系统工程,080210,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251880,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251880,
工学,机械类,机电技术教育,080211,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383391,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383391,
工学,机械类,汽车维修工程教育,080212,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383399,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383399,
工学,机械类,智能制造工程,080213,-,4.8,,,
工学,机械类,智能车辆工程,080214,-,4.2,,,
工学,机械类,仿生科学与工程,080215,-,-,,,
工学,机械类,新能源汽车工程,080216,-,4.8,,,
工学,机械类,增材制造工程,080217,-,-,,,
工学,机械类,智能交互设计,080218,-,-,,,
工学,机械类,应急装备技术与工程,080219,-,-,,,
工学,机械类,农林智能装备工程,080220,-,-,,,
工学,仪器类,测控技术与仪器,080301,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384252,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384252,
工学,仪器类,精密仪器,080302,-,-,,,
工学,仪器类,智能感知工程,080303,-,5.0,,,
工学,材料类,材料科学与工程,080401,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384156,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384156,
工学,材料类,材料物理,080402,查看,3.8,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384036,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384036,
工学,材料类,材料化学,080403,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384040,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384040,
工学,材料类,冶金工程,080404,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384140,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384140,
工学,材料类,金属材料工程,080405,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384144,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384144,
工学,材料类,无机非金属材料工程,080406,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384148,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384148,
工学,材料类,高分子材料与工程,080407,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384152,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384152,
工学,材料类,复合材料与工程,080408,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384160,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384160,
工学,材料类,粉体材料科学与工程,080409,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384172,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384172,
工学,材料类,宝石及材料工艺学,080410,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384168,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384168,
工学,材料类,焊接技术与工程,080411,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384164,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384164,
工学,材料类,功能材料,080412,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251864,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251864,
工学,材料类,纳米材料与技术,080413,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251868,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251868,
工学,材料类,新能源材料与器件,080414,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251872,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251872,
工学,材料类,材料设计科学与工程,080415,-,-,,,
工学,材料类,复合材料成型工程,080416,-,-,,,
工学,材料类,智能材料与结构,080417,-,-,,,
工学,材料类,光电信息材料与器件,080418,-,-,,,
工学,材料类,生物材料,080419,-,-,,,
工学,材料类,材料智能技术,080420,-,-,,,
工学,材料类,电子信息材料,080421,-,-,,,
工学,材料类,软物质科学与工程,080422,-,-,,,
工学,材料类,稀土材料科学与工程,080423,-,-,,,
工学,能源动力类,能源与动力工程,080501,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/437286996,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437286996,
工学,能源动力类,能源与环境系统工程,080502,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384280,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384280,
工学,能源动力类,新能源科学与工程,080503,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/213775269,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213775269,
工学,能源动力类,储能科学与工程,080504,-,-,,,
工学,能源动力类,能源服务工程,080505,-,-,,,
工学,能源动力类,氢能科学与工程,080506,-,-,,,
工学,能源动力类,可持续能源,080507,-,-,,,
工学,电气类,电气工程及其自动化,080601,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384320,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384320,
工学,电气类,智能电网信息工程,080602,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/213778862,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213778862,
工学,电气类,光源与照明,080603,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/213759848,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213759848,
工学,电气类,电气工程与智能控制,080604,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384440,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384440,
工学,电气类,电机电器智能化,080605,-,-,,,
工学,电气类,电缆工程,080606,-,-,,,
工学,电气类,能源互联网工程,080607,-,-,,,
工学,电气类,智慧能源工程,080608,-,-,,,
工学,电气类,电动载运工程,080609,-,-,,,
工学,电气类,大功率半导体科学与工程,080610,-,-,,,
工学,电子信息类,电子信息工程,080701,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384328,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384328,
工学,电子信息类,电子科学与技术,080702,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384340,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384340,
工学,电子信息类,通信工程,080703,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384332,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384332,
工学,电子信息类,微电子科学与工程,080704,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/320924653,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=320924653,
工学,电子信息类,光电信息科学与工程,080705,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/437287064,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437287064,
工学,电子信息类,信息工程,080706,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384352,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384352,
工学,电子信息类,广播电视工程,080707,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384380,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384380,
工学,电子信息类,水声工程,080708,查看,4.6,https://gaokao.chsi.com.cn/zyk/zybk/detail/213778858,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=213778858,
工学,电子信息类,电子封装技术,080709,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384192,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384192,
工学,电子信息类,集成电路设计与集成系统,080710,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384372,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384372,
工学,电子信息类,医学信息工程,080711,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384408,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384408,
工学,电子信息类,电磁场与无线技术,080712,查看,4.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384432,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384432,
工学,电子信息类,电波传播与天线,080713,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384444,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384444,
工学,电子信息类,电子信息科学与技术,080714,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384004,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384004,
工学,电子信息类,电信工程及管理,080715,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384436,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384436,
工学,电子信息类,应用电子技术教育,080716,查看,3.7,https://gaokao.chsi.com.cn/zyk/zybk/detail/73383403,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73383403,
工学,电子信息类,人工智能,080717,-,4.7,,,
工学,电子信息类,海洋信息工程,080718,-,-,,,
工学,电子信息类,柔性电子学,080719,-,5.0,,,
工学,电子信息类,智能测控工程,080720,-,-,,,
工学,电子信息类,智能视觉工程,080721,-,-,,,
工学,电子信息类,智能视听工程,080722,-,-,,,
工学,自动化类,自动化,080801,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384324,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384324,
工学,自动化类,轨道交通信号与控制,080802,查看,3.9,https://gaokao.chsi.com.cn/zyk/zybk/detail/437286956,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=437286956,
工学,自动化类,机器人工程,080803,-,4.6,,,
工学,自动化类,邮政工程,080804,-,4.9,,,
工学,自动化类,核电技术与控制工程,080805,-,-,,,
工学,自动化类,智能装备与系统,080806,-,-,,,
工学,自动化类,工业智能,080807,-,-,,,
工学,自动化类,智能工程与创意设计,080808,-,-,,,
工学,计算机类,计算机科学与技术,080901,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384336,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384336,
工学,计算机类,软件工程,080902,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384356,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384356,
工学,计算机类,网络工程,080903,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384364,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384364,
工学,计算机类,信息安全,080904,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384016,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384016,
工学,计算机类,物联网工程,080905,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251912,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251912,
工学,计算机类,数字媒体技术,080906,查看,4.0,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384424,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384424,
工学,计算机类,智能科学与技术,080907,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384420,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384420,
工学,计算机类,空间信息与数字技术,080908,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384552,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384552,
工学,计算机类,电子与计算机工程,080909,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/164251908,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=164251908,
工学,计算机类,数据科学与大数据技术,080910,-,4.8,,,
工学,计算机类,网络空间安全,080911,-,3.9,,,
工学,计算机类,新媒体技术,080912,-,-,,,
工学,计算机类,电影制作,080913,-,-,,,
工学,计算机类,保密技术,080914,-,-,,,
工学,计算机类,服务科学与工程,080915,-,-,,,
工学,计算机类,虚拟现实技术,080916,-,4.9,,,
工学,计算机类,区块链工程,080917,-,5.0,,,
工学,计算机类,密码科学与技术,080918,-,-,,,
工学,计算机类,工业软件,080919,-,-,,,
工学,土木类,土木工程,081001,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384468,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384468,
工学,土木类,建筑环境与能源应用工程,081002,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/427392401,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=427392401,
工学,土木类,给排水科学与工程,081003,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384500,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384500,
工学,土木类,建筑电气与智能化,081004,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384504,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384504,
工学,土木类,城市地下空间工程,081005,查看,4.4,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384480,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384480,
工学,土木类,道路桥梁与渡河工程,081006,查看,4.5,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384516,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384516,
工学,土木类,铁道工程,081007,-,-,,,
工学,土木类,智能建造,081008,-,4.8,,,
工学,土木类,土木、水利与海洋工程,081009,-,-,,,
工学,土木类,土木、水利与交通工程,081010,-,-,,,
工学,土木类,城市水系统工程,081011,-,-,,,
工学,土木类,智能建造与智慧交通,081012,-,-,,,
工学,土木类,工程软件,081013,-,-,,,
工学,水利类,水利水电工程,081101,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384528,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384528,
工学,水利类,水文与水资源工程,081102,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384532,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384532,
工学,水利类,港口航道与海岸工程,081103,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384536,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384536,
工学,水利类,水务工程,081104,查看,4.1,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384492,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384492,
工学,水利类,水利科学与工程,081105,-,-,,,
工学,水利类,智慧水利,081106,-,-,,,
工学,测绘类,测绘工程,081201,查看,4.3,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384544,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384544,
工学,测绘类,遥感科学与技术,081202,查看,4.2,https://gaokao.chsi.com.cn/zyk/zybk/detail/73384548,https://gaokao.chsi.com.cn/zyk/zybk/ksyxPage?specId=73384548,
工学,测绘类,导航工程,081203,-,4.4,,,
